time,Q_release,V_storage
2013-01-01 00:00:00,0.000000,400000.000000
2013-01-01 12:00:00,1.968390,399205.558747
2013-01-02 00:00:00,2.550627,399178.461220
2013-01-02 12:00:00,3.310417,398728.437303
2013-01-03 00:00:00,4.431306,395216.020217
2013-01-03 12:00:00,5.831536,383053.681186
2013-01-04 00:00:00,6.430396,416300.582533
2013-01-04 12:00:00,5.808507,405133.068716
2013-01-05 00:00:00,4.443870,401077.898111
2013-01-05 12:00:00,3.300260,401066.672834
2013-01-06 00:00:00,2.111729,420000.000098
2013-01-06 12:00:00,1.950000,420000.000098
