UTC,Inflow_Q,DrinkingWaterExtractionPump_Q_target,UpperChannel_max,UpperChannel_min,MiddleChannel_max,MiddleChannel_min,LowerChannel_max,LowerChannel_min
2013-01-01 01:00:00,1,0.56,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 02:00:00,1,0.49,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 03:00:00,1,0.49,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 04:00:00,1,0.56,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 05:00:00,1,0.77,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 06:00:00,1,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 07:00:00,1,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 08:00:00,1,1.33,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 09:00:00,1.5,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 10:00:00,2,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 11:00:00,2.5,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 12:00:00,3,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 13:00:00,3.25,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 14:00:00,3.5,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 15:00:00,3.5,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 16:00:00,3.25,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 17:00:00,3,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 18:00:00,2.5,1.33,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 19:00:00,2,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 20:00:00,1.5,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 21:00:00,1,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 22:00:00,1,0.84,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-01 23:00:00,1,0.7,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 00:00:00,1,0.63,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 01:00:00,1,0.56,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 02:00:00,1,0.49,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 03:00:00,1,0.49,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 04:00:00,1,0.56,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 05:00:00,1,0.77,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 06:00:00,1,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 07:00:00,0.75,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 08:00:00,0.75,1.33,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 09:00:00,0.75,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 10:00:00,0.75,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 11:00:00,0.75,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 12:00:00,0.75,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 13:00:00,0.75,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 14:00:00,0.75,0.91,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 15:00:00,0.75,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 16:00:00,0.75,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 17:00:00,0.75,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 18:00:00,0.75,1.33,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 19:00:00,0.75,1.26,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 20:00:00,0.75,1.12,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 21:00:00,1,0.98,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 22:00:00,1,0.84,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-02 23:00:00,1,0.7,1.35,0.85,0.85,0.35,0.35,-0.15
2013-01-03 00:00:00,1,0.63,1.35,0.85,0.85,0.35,0.35,-0.15
